dataset,subject,outcome,stage,model,grid,policy,comparator,config_id,full_config_id,budget_fraction,restricted_precision,full_precision,precision_difference,restricted_recall,full_recall,recall_difference,true_alert_difference,false_alert_difference,alert_intersection,alert_union,alert_jaccard_vs_full,retained_full_alert_fraction
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,minimized,full,day42__minimized__standard,day42__full__standard,0.2,0.7355052457205964,0.7404748757592491,-0.004969630038652695,0.3716517857142857,0.37416294642857145,-0.002511160714285754,-9,9,1503,2119,0.7092968381311939,0.8299282164549973
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,minimized,full,day42__minimized__standard,day42__full__standard,0.3,0.658321060382916,0.6734167893961709,-0.015095729013254844,0.49888392857142855,0.5103236607142857,-0.01143973214285715,-41,41,2313,3119,0.7415838409746713,0.851620029455081
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,partial_gender_disability,full,day42__partial_gender_disability__standard,day42__full__standard,0.05,0.9057017543859649,0.9035087719298246,0.002192982456140302,0.115234375,0.11495535714285714,0.0002790178571428631,1,-1,427,485,0.8804123711340206,0.9364035087719298
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,partial_gender_disability,full,day42__partial_gender_disability__standard,day42__full__standard,0.1,0.8425110132158591,0.8469162995594713,-0.004405286343612258,0.21344866071428573,0.21456473214285715,-0.0011160714285714246,-4,4,871,945,0.9216931216931217,0.9592511013215859
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,partial_gender_disability,full,day42__partial_gender_disability__standard,day42__full__standard,0.2,0.7415792379900608,0.7404748757592491,0.001104362230811673,0.37472098214285715,0.37416294642857145,0.0005580357142856984,2,-2,1757,1865,0.9420911528150134,0.9701822197680839
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,partial_gender_disability,full,day42__partial_gender_disability__standard,day42__full__standard,0.3,0.6712076583210603,0.6734167893961709,-0.0022091310751105597,0.5086495535714286,0.5103236607142857,-0.0016741071428570953,-6,6,2650,2782,0.9525521207764198,0.975699558173785
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,strict_enriched_due_process,full,day42__strict_enriched_due_process__standard,day42__full__standard,0.05,0.8355263157894737,0.9035087719298246,-0.06798245614035092,0.10630580357142858,0.11495535714285714,-0.008649553571428562,-31,31,258,654,0.3944954128440367,0.5657894736842105
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,strict_enriched_due_process,full,day42__strict_enriched_due_process__standard,day42__full__standard,0.1,0.7422907488986784,0.8469162995594713,-0.10462555066079293,0.18805803571428573,0.21456473214285715,-0.026506696428571425,-95,95,540,1276,0.4231974921630094,0.5947136563876652
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,strict_enriched_due_process,full,day42__strict_enriched_due_process__standard,day42__full__standard,0.2,0.6576477084483711,0.7404748757592491,-0.08282716731087802,0.33231026785714285,0.37416294642857145,-0.0418526785714286,-150,150,1138,2484,0.4581320450885668,0.6283821093318609
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,strict_enriched_due_process,full,day42__strict_enriched_due_process__standard,day42__full__standard,0.3,0.5997790868924889,0.6734167893961709,-0.07363770250368196,0.4545200892857143,0.5103236607142857,-0.0558035714285714,-200,200,1799,3633,0.4951830443159923,0.6623711340206185
