dataset,subject,outcome,stage,model,grid,policy,comparator,config_id,full_config_id,metric,restricted,full,difference
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,school_observable_only,full,uci320__mathematics__fail_g3_lt_10__baseline__school_observable_only__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,auroc,0.6772714078374455,0.6181712626995646,0.05910014513788098
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,school_observable_only,full,uci320__mathematics__fail_g3_lt_10__baseline__school_observable_only__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,brier,0.20419672440601755,0.21581566626421766,-0.011618941858200116
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,targeted_no_sex,full,uci320__mathematics__fail_g3_lt_10__baseline__targeted_no_sex__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,average_precision,0.42895773449208724,0.4324340311527223,-0.0034762966606350365
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,targeted_no_sex,full,uci320__mathematics__fail_g3_lt_10__baseline__targeted_no_sex__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,auroc,0.6168359941944848,0.6181712626995646,-0.0013352685050798119
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,targeted_no_sex,full,uci320__mathematics__fail_g3_lt_10__baseline__targeted_no_sex__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,brier,0.21606532282998064,0.21581566626421766,0.000249656565762979
uci320,mathematics,fail_g3_lt_10,baseline,logistic,c13_selected,no_demographic_family,full,uci320__mathematics__fail_g3_lt_10__baseline__no_demographic_family__logistic,uci320__mathematics__fail_g3_lt_10__baseline__full__logistic,average_precision,0.47569333597561336,0.45089903762114153,0.024794298354471833
uci320,mathematics,fail_g3_lt_10,baseline,logistic,c13_selected,no_demographic_family,full,uci320__mathematics__fail_g3_lt_10__baseline__no_demographic_family__logistic,uci320__mathematics__fail_g3_lt_10__baseline__full__logistic,auroc,0.6366618287373005,0.6375616835994196,-0.0008998548621190761
uci320,mathematics,fail_g3_lt_10,baseline,logistic,c13_selected,no_demographic_family,full,uci320__mathematics__fail_g3_lt_10__baseline__no_demographic_family__logistic,uci320__mathematics__fail_g3_lt_10__baseline__full__logistic,brier,0.21106922159239358,0.2134915837461124,-0.0024223621537188267
uci320,mathematics,fail_g3_lt_10,baseline,logistic,c13_selected,no_sensitive_wellbeing,full,uci320__mathematics__fail_g3_lt_10__baseline__no_sensitive_wellbeing__logistic,uci320__mathematics__fail_g3_lt_10__baseline__full__logistic,average_precision,0.4691487662598537,0.45089903762114153,0.01824972863871216
uci320,mathematics,fail_g3_lt_10,baseline,logistic,c13_selected,no_sensitive_wellbeing,full,uci320__mathematics__fail_g3_lt_10__baseline__no_sensitive_wellbeing__logistic,uci320__mathematics__fail_g3_lt_10__baseline__full__logistic,auroc,0.6486502177068214,0.6375616835994196,0.011088534107401848
