dataset,subject,outcome,stage,policy,model,grid,analysis_group,config_id,source_prediction_sha256,budget_fraction,alerts,true_alerts,false_alerts,precision,recall,lift,exploratory
oulad,all,future_fail_or_withdrawn,day42,loo_no_age_band,histgb,standard,leave_one_out,day42__loo_no_age_band__standard,1c6f0e0d03ad4a00398fa0b148d60d4de331d714614bc047bb15c4fc96704306,0.05,456,417,39,0.9144736842105263,0.11635044642857142,2.3065965695488724,
oulad,all,future_fail_or_withdrawn,day42,loo_no_age_band,histgb,standard,leave_one_out,day42__loo_no_age_band__standard,1c6f0e0d03ad4a00398fa0b148d60d4de331d714614bc047bb15c4fc96704306,0.1,908,776,132,0.8546255506607929,0.21651785714285715,2.155640339836375,
oulad,all,future_fail_or_withdrawn,day42,loo_no_age_band,histgb,standard,leave_one_out,day42__loo_no_age_band__standard,1c6f0e0d03ad4a00398fa0b148d60d4de331d714614bc047bb15c4fc96704306,0.2,1811,1342,469,0.7410270568746549,0.3744419642857143,1.8691084247061607,
oulad,all,future_fail_or_withdrawn,day42,loo_no_age_band,histgb,standard,leave_one_out,day42__loo_no_age_band__standard,1c6f0e0d03ad4a00398fa0b148d60d4de331d714614bc047bb15c4fc96704306,0.3,2716,1830,886,0.6737849779086893,0.5106026785714286,1.6995022880286137,
oulad,all,future_fail_or_withdrawn,day42,loo_no_disability,histgb,standard,leave_one_out,day42__loo_no_disability__standard,4a710bd72575f5fc119b95c72896557dc5e9e758d3a234d6d7f483603cc26027,0.05,456,413,43,0.9057017543859649,0.115234375,2.2844709429824563,
oulad,all,future_fail_or_withdrawn,day42,loo_no_disability,histgb,standard,leave_one_out,day42__loo_no_disability__standard,4a710bd72575f5fc119b95c72896557dc5e9e758d3a234d6d7f483603cc26027,0.1,908,770,138,0.8480176211453745,0.21484375,2.1389730176211454,
oulad,all,future_fail_or_withdrawn,day42,loo_no_disability,histgb,standard,leave_one_out,day42__loo_no_disability__standard,4a710bd72575f5fc119b95c72896557dc5e9e758d3a234d6d7f483603cc26027,0.2,1811,1335,476,0.737161789066814,0.3724888392857143,1.8593589768872762,
oulad,all,future_fail_or_withdrawn,day42,loo_no_disability,histgb,standard,leave_one_out,day42__loo_no_disability__standard,4a710bd72575f5fc119b95c72896557dc5e9e758d3a234d6d7f483603cc26027,0.3,2716,1824,892,0.6715758468335787,0.5089285714285714,1.6939301493793393,
oulad,all,future_fail_or_withdrawn,day42,loo_no_gender,histgb,standard,leave_one_out,day42__loo_no_gender__standard,acebf1ffc528d51dd76c3cc5384396cb0ab0c6495132de5daf37a9b451a7b627,0.05,456,419,37,0.918859649122807,0.11690848214285714,2.31765938283208,
oulad,all,future_fail_or_withdrawn,day42,loo_no_gender,histgb,standard,leave_one_out,day42__loo_no_gender__standard,acebf1ffc528d51dd76c3cc5384396cb0ab0c6495132de5daf37a9b451a7b627,0.1,908,774,134,0.8524229074889867,0.21595982142857142,2.1500845657646317,
oulad,all,future_fail_or_withdrawn,day42,loo_no_gender,histgb,standard,leave_one_out,day42__loo_no_gender__standard,acebf1ffc528d51dd76c3cc5384396cb0ab0c6495132de5daf37a9b451a7b627,0.2,1811,1344,467,0.7421314191054665,0.375,1.871893981225842,
oulad,all,future_fail_or_withdrawn,day42,loo_no_gender,histgb,standard,leave_one_out,day42__loo_no_gender__standard,acebf1ffc528d51dd76c3cc5384396cb0ab0c6495132de5daf37a9b451a7b627,0.3,2716,1828,888,0.6730486008836525,0.5100446428571429,1.6976449084788556,
oulad,all,future_fail_or_withdrawn,day42,loo_no_highest_education,histgb,standard,leave_one_out,day42__loo_no_highest_education__standard,d1cc38f387222abcf1e24d71642f362a2e91e3770566c36d17811ea6739e3e83,0.05,456,418,38,0.9166666666666666,0.11662946428571429,2.3121279761904763,
oulad,all,future_fail_or_withdrawn,day42,loo_no_highest_education,histgb,standard,leave_one_out,day42__loo_no_highest_education__standard,d1cc38f387222abcf1e24d71642f362a2e91e3770566c36d17811ea6739e3e83,0.1,908,763,145,0.8403083700440529,0.212890625,2.119527808370044,
oulad,all,future_fail_or_withdrawn,day42,loo_no_highest_education,histgb,standard,leave_one_out,day42__loo_no_highest_education__standard,d1cc38f387222abcf1e24d71642f362a2e91e3770566c36d17811ea6739e3e83,0.2,1811,1342,469,0.7410270568746549,0.3744419642857143,1.8691084247061607,
oulad,all,future_fail_or_withdrawn,day42,loo_no_highest_education,histgb,standard,leave_one_out,day42__loo_no_highest_education__standard,d1cc38f387222abcf1e24d71642f362a2e91e3770566c36d17811ea6739e3e83,0.3,2716,1799,917,0.6623711340206185,0.501953125,1.6707129050073637,
oulad,all,future_fail_or_withdrawn,day42,loo_no_imd_band,histgb,standard,leave_one_out,day42__loo_no_imd_band__standard,ac7c6693119239cf8a95261d21ee60f7ad152f31bf63aec6a23f1fd935dcced7,0.05,456,418,38,0.9166666666666666,0.11662946428571429,2.3121279761904763,
oulad,all,future_fail_or_withdrawn,day42,loo_no_imd_band,histgb,standard,leave_one_out,day42__loo_no_imd_band__standard,ac7c6693119239cf8a95261d21ee60f7ad152f31bf63aec6a23f1fd935dcced7,0.1,908,770,138,0.8480176211453745,0.21484375,2.1389730176211454,
