dataset,subject,outcome,stage,model,grid,policy,comparator,config_id,full_config_id,budget_fraction,restricted_precision,full_precision,precision_difference,restricted_recall,full_recall,recall_difference,true_alert_difference,false_alert_difference,alert_intersection,alert_union,alert_jaccard_vs_full,retained_full_alert_fraction
oulad,all,future_fail_or_withdrawn,day70,histgb,standard,partial_gender_disability,full,day70__partial_gender_disability__standard,day70__full__standard,0.3,0.6813481424741479,0.6855610877058598,-0.004212945231711895,0.5495829471733086,0.552981155390794,-0.0033982082174853767,-11,11,2527,2695,0.9376623376623376,0.967828418230563
oulad,all,future_fail_or_withdrawn,day90,histgb,standard,minimized,full,day90__minimized__standard,day90__full__standard,0.05,0.9883449883449883,0.9906759906759907,-0.002331002331002363,0.1378861788617886,0.13821138211382114,-0.00032520325203252987,-1,1,383,475,0.8063157894736842,0.8927738927738927
oulad,all,future_fail_or_withdrawn,day90,histgb,standard,minimized,full,day90__minimized__standard,day90__full__standard,0.1,0.9461988304093567,0.9368421052631579,0.009356725146198785,0.2630894308943089,0.2604878048780488,0.002601626016260128,8,-8,797,913,0.872946330777656,0.9321637426900585
oulad,all,future_fail_or_withdrawn,day90,histgb,standard,minimized,full,day90__minimized__standard,day90__full__standard,0.2,0.7781030444964872,0.7862997658079626,-0.008196721311475419,0.4321951219512195,0.4367479674796748,-0.004552845528455307,-14,14,1525,1891,0.8064516129032258,0.8928571428571429
oulad,all,future_fail_or_withdrawn,day90,histgb,standard,minimized,full,day90__minimized__standard,day90__full__standard,0.3,0.6666666666666666,0.6709601873536299,-0.004293520686963315,0.5554471544715447,0.5590243902439025,-0.0035772357723578008,-11,11,2204,2920,0.7547945205479452,0.8602654176424668
oulad,all,future_fail_or_withdrawn,day90,histgb,standard,partial_gender_disability,full,day90__partial_gender_disability__standard,day90__full__standard,0.05,0.9883449883449883,0.9906759906759907,-0.002331002331002363,0.1378861788617886,0.13821138211382114,-0.00032520325203252987,-1,1,412,446,0.9237668161434978,0.9603729603729604
oulad,all,future_fail_or_withdrawn,day90,histgb,standard,partial_gender_disability,full,day90__partial_gender_disability__standard,day90__full__standard,0.1,0.9403508771929825,0.9368421052631579,0.0035087719298245723,0.26146341463414635,0.2604878048780488,0.0009756097560975618,3,-3,838,872,0.9610091743119266,0.9801169590643275
oulad,all,future_fail_or_withdrawn,day90,histgb,standard,partial_gender_disability,full,day90__partial_gender_disability__standard,day90__full__standard,0.2,0.7874707259953162,0.7862997658079626,0.0011709601873536313,0.4373983739837398,0.4367479674796748,0.0006504065040650042,2,-2,1676,1740,0.9632183908045977,0.9812646370023419
oulad,all,future_fail_or_withdrawn,day90,histgb,standard,partial_gender_disability,full,day90__partial_gender_disability__standard,day90__full__standard,0.3,0.6725214676034348,0.6709601873536299,0.0015612802498048417,0.5603252032520325,0.5590243902439025,0.0013008130081300084,4,-4,2513,2611,0.9624664879356568,0.9808743169398907
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,no_demographic_family,full,uci320__mathematics__fail_g3_lt_10__baseline__no_demographic_family__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,0.05,0.38095238095238093,0.5714285714285714,-0.19047619047619047,0.06153846153846154,0.09230769230769231,-0.03076923076923077,-4,4,10,32,0.3125,0.47619047619047616
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,no_demographic_family,full,uci320__mathematics__fail_g3_lt_10__baseline__no_demographic_family__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,0.1,0.5,0.575,-0.07499999999999996,0.15384615384615385,0.17692307692307693,-0.023076923076923078,-3,3,20,60,0.3333333333333333,0.5
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,no_demographic_family,full,uci320__mathematics__fail_g3_lt_10__baseline__no_demographic_family__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,0.2,0.4625,0.475,-0.012499999999999956,0.2846153846153846,0.2923076923076923,-0.0076923076923077205,-1,1,47,113,0.415929203539823,0.5875
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,no_demographic_family,full,uci320__mathematics__fail_g3_lt_10__baseline__no_demographic_family__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,0.3,0.5294117647058824,0.42857142857142855,0.10084033613445381,0.4846153846153846,0.3923076923076923,0.09230769230769231,12,-12,88,150,0.5866666666666667,0.7394957983193278
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,no_sensitive_wellbeing,full,uci320__mathematics__fail_g3_lt_10__baseline__no_sensitive_wellbeing__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,0.05,0.5714285714285714,0.5714285714285714,0.0,0.09230769230769231,0.09230769230769231,0.0,0,0,17,25,0.68,0.8095238095238095
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,no_sensitive_wellbeing,full,uci320__mathematics__fail_g3_lt_10__baseline__no_sensitive_wellbeing__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,0.1,0.575,0.575,0.0,0.17692307692307693,0.17692307692307693,0.0,0,0,29,51,0.5686274509803921,0.725
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,no_sensitive_wellbeing,full,uci320__mathematics__fail_g3_lt_10__baseline__no_sensitive_wellbeing__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,0.2,0.5125,0.475,0.03749999999999998,0.3153846153846154,0.2923076923076923,0.02307692307692305,3,-3,60,100,0.6,0.75
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,no_sensitive_wellbeing,full,uci320__mathematics__fail_g3_lt_10__baseline__no_sensitive_wellbeing__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,0.3,0.44537815126050423,0.42857142857142855,0.01680672268907568,0.4076923076923077,0.3923076923076923,0.015384615384615385,2,-2,96,142,0.676056338028169,0.8067226890756303
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,school_observable_only,full,uci320__mathematics__fail_g3_lt_10__baseline__school_observable_only__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,0.05,0.5238095238095238,0.5714285714285714,-0.04761904761904756,0.08461538461538462,0.09230769230769231,-0.007692307692307693,-1,1,6,36,0.16666666666666666,0.2857142857142857
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,school_observable_only,full,uci320__mathematics__fail_g3_lt_10__baseline__school_observable_only__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,0.1,0.575,0.575,0.0,0.17692307692307693,0.17692307692307693,0.0,0,0,17,63,0.2698412698412698,0.425
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,school_observable_only,full,uci320__mathematics__fail_g3_lt_10__baseline__school_observable_only__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,0.2,0.5375,0.475,0.0625,0.33076923076923076,0.2923076923076923,0.038461538461538436,5,-5,43,117,0.36752136752136755,0.5375
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,school_observable_only,full,uci320__mathematics__fail_g3_lt_10__baseline__school_observable_only__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,0.3,0.5294117647058824,0.42857142857142855,0.10084033613445381,0.4846153846153846,0.3923076923076923,0.09230769230769231,12,-12,73,165,0.44242424242424244,0.6134453781512605
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,targeted_no_sex,full,uci320__mathematics__fail_g3_lt_10__baseline__targeted_no_sex__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,0.05,0.5238095238095238,0.5714285714285714,-0.04761904761904756,0.08461538461538462,0.09230769230769231,-0.007692307692307693,-1,1,18,24,0.75,0.8571428571428571
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,targeted_no_sex,full,uci320__mathematics__fail_g3_lt_10__baseline__targeted_no_sex__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,0.1,0.525,0.575,-0.04999999999999993,0.16153846153846155,0.17692307692307693,-0.015384615384615385,-2,2,31,49,0.6326530612244898,0.775
uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,targeted_no_sex,full,uci320__mathematics__fail_g3_lt_10__baseline__targeted_no_sex__histgb,uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,0.2,0.4375,0.475,-0.03749999999999998,0.2692307692307692,0.2923076923076923,-0.023076923076923106,-3,3,66,94,0.7021276595744681,0.825
