dataset,subject,outcome,stage,policy,model,grid,analysis_group,config_id,source_prediction_sha256,n,risk_cases,prevalence,average_precision,auroc,brier,exploratory
uci320,mathematics,fail_g3_lt_10,period1,school_observable_only,histgb,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__period1__school_observable_only__histgb,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.8091896514086763,0.9178955007256894,0.10817168992231173,False
uci320,mathematics,fail_g3_lt_10,period1,school_observable_only,logistic,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__period1__school_observable_only__logistic,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.8165206606031438,0.9124963715529754,0.11477063891775298,False
uci320,mathematics,fail_g3_lt_10,period1,targeted_no_sex,histgb,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__period1__targeted_no_sex__histgb,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.8331106036022559,0.9110595065312046,0.11578075636700982,False
uci320,mathematics,fail_g3_lt_10,period1,targeted_no_sex,logistic,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__period1__targeted_no_sex__logistic,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.8328145057951282,0.9136429608127721,0.11340313542251258,False
uci320,mathematics,fail_g3_lt_10,period2,full,histgb,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__period2__full__histgb,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.9410399238251487,0.9712917271407837,0.06145381018709261,False
uci320,mathematics,fail_g3_lt_10,period2,full,logistic,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__period2__full__logistic,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.943444759907095,0.9695210449927432,0.06455496082649068,False
uci320,mathematics,fail_g3_lt_10,period2,no_demographic_family,histgb,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__period2__no_demographic_family__histgb,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.9321061975551848,0.9657474600870828,0.07117309469561867,False
uci320,mathematics,fail_g3_lt_10,period2,no_demographic_family,logistic,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__period2__no_demographic_family__logistic,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.9328761588376486,0.9651378809869376,0.07213649039930999,False
uci320,mathematics,fail_g3_lt_10,period2,no_sensitive_wellbeing,histgb,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__period2__no_sensitive_wellbeing__histgb,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.9326559334572839,0.9701886792452831,0.06497757150666461,False
uci320,mathematics,fail_g3_lt_10,period2,no_sensitive_wellbeing,logistic,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__period2__no_sensitive_wellbeing__logistic,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.9324702167279334,0.9639187227866474,0.07186639313506657,False
uci320,mathematics,fail_g3_lt_10,period2,school_observable_only,histgb,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__period2__school_observable_only__histgb,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.9382641066081603,0.9671407837445574,0.06849537724113328,False
uci320,mathematics,fail_g3_lt_10,period2,school_observable_only,logistic,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__period2__school_observable_only__logistic,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.9251777087407549,0.9604063860667635,0.0777050147118649,False
uci320,mathematics,fail_g3_lt_10,period2,targeted_no_sex,histgb,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__period2__targeted_no_sex__histgb,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.941506695299649,0.9710595065312047,0.061570122215657115,False
uci320,mathematics,fail_g3_lt_10,period2,targeted_no_sex,logistic,c13_selected,uci,uci320__mathematics__fail_g3_lt_10__period2__targeted_no_sex__logistic,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,395,130,0.3291139240506329,0.9384118742399229,0.9679245283018867,0.06636868654519744,False
uci320,portuguese,fail_g3_lt_10,baseline,full,histgb,c13_selected,uci,uci320__portuguese__fail_g3_lt_10__baseline__full__histgb,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,649,100,0.15408320493066255,0.4124640815191373,0.7960837887067396,0.10983448623911463,False
uci320,portuguese,fail_g3_lt_10,baseline,full,logistic,c13_selected,uci,uci320__portuguese__fail_g3_lt_10__baseline__full__logistic,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,649,100,0.15408320493066255,0.3883355072415384,0.777832422586521,0.11309260203684482,False
uci320,portuguese,fail_g3_lt_10,baseline,no_demographic_family,histgb,c13_selected,uci,uci320__portuguese__fail_g3_lt_10__baseline__no_demographic_family__histgb,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,649,100,0.15408320493066255,0.4690931418815168,0.7988888888888889,0.1054092543849954,False
uci320,portuguese,fail_g3_lt_10,baseline,no_demographic_family,logistic,c13_selected,uci,uci320__portuguese__fail_g3_lt_10__baseline__no_demographic_family__logistic,1e77b96a42008b27a548794a1d8b331be850bc712aef634e7263f7a7bd66262d,649,100,0.15408320493066255,0.42614015271727584,0.8034790528233152,0.10934183513895665,False
