analysis_source,dataset,subject,outcome,stage,model,grid,contrast_name,contrast_id,family_id,tier,replicates,family_stage_count,metric,budget_fraction,family_size,draw_file,draw_key,estimate,pointwise_ci95_low,pointwise_ci95_high,familywise_bonferroni_low,familywise_bonferroni_high,bootstrap_sign_p_two_sided,bonferroni_adjusted_sign_p,familywise_excludes_zero
C14B_frozen,oulad,all,future_fail_or_withdrawn,day42,histgb,standard,partial_gender_disability,c14b__day42__partial_gender_disability__standard__minus__day42__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,precision_difference,0.05,24,draws/task_b708eb63559e33ef5cce.npz,c007__precision_difference__0.05,0.002192982456140302,-0.01318681318681314,0.01541850220264318,-0.021502332161806248,0.024164834160722258,0.9866026794641072,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day42,histgb,standard,partial_gender_disability,c14b__day42__partial_gender_disability__standard__minus__day42__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,precision_difference,0.1,24,draws/task_b708eb63559e33ef5cce.npz,c007__precision_difference__0.10,-0.004405286343612258,-0.009944751381215425,0.009890381895332458,-0.017601760176017642,0.015173183170420853,0.9778044391121775,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day42,histgb,standard,partial_gender_disability,c14b__day42__partial_gender_disability__standard__minus__day42__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,precision_difference,0.2,24,draws/task_b708eb63559e33ef5cce.npz,c007__precision_difference__0.20,0.001104362230811673,-0.006637168141592875,0.007178354500276152,-0.011031439602868209,0.011027661972635267,1.0,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day42,histgb,standard,partial_gender_disability,c14b__day42__partial_gender_disability__standard__minus__day42__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,precision_difference,0.3,24,draws/task_b708eb63559e33ef5cce.npz,c007__precision_difference__0.30,-0.0022091310751105597,-0.00663722934749617,0.0033185840707964376,-0.009957020845042967,0.006186060166168982,0.5582883423315337,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day56,histgb,standard,partial_gender_disability,c14b__day56__partial_gender_disability__standard__minus__day56__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,precision_difference,0.05,24,draws/task_e242be323d1e7971511e.npz,c001__precision_difference__0.05,-0.0022421524663677195,-0.011235955056179803,0.01342281879194629,-0.017897091722595126,0.024155159124273188,1.0,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day56,histgb,standard,partial_gender_disability,c14b__day56__partial_gender_disability__standard__minus__day56__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,precision_difference,0.1,24,draws/task_e242be323d1e7971511e.npz,c001__precision_difference__0.10,0.0022471910112359383,-0.0056242969628796935,0.012331838565022402,-0.011210762331838575,0.017973345607552836,0.5706858628274345,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day56,histgb,standard,partial_gender_disability,c14b__day56__partial_gender_disability__standard__minus__day56__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,precision_difference,0.2,24,draws/task_e242be323d1e7971511e.npz,c001__precision_difference__0.20,-0.003374578177727794,-0.008968609865470878,0.003380329326579625,-0.012240369871625327,0.007326228147028588,0.483503299340132,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day56,histgb,standard,partial_gender_disability,c14b__day56__partial_gender_disability__standard__minus__day56__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,precision_difference,0.3,24,draws/task_e242be323d1e7971511e.npz,c001__precision_difference__0.30,-0.0030007501875468634,-0.008239777554190622,0.004116804999136947,-0.011530397419291473,0.007128901567558899,0.5106978604279144,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day70,histgb,standard,partial_gender_disability,c14b__day70__partial_gender_disability__standard__minus__day70__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,precision_difference,0.05,24,draws/task_b8d7ef2aa7b4cb076770.npz,c001__precision_difference__0.05,0.0022831050228310223,-0.00917431192660545,0.011389521640091105,-0.01598173515981738,0.015981735159817354,1.0,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day70,histgb,standard,partial_gender_disability,c14b__day70__partial_gender_disability__standard__minus__day70__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,precision_difference,0.1,24,draws/task_b8d7ef2aa7b4cb076770.npz,c001__precision_difference__0.10,-0.002290950744558984,-0.00917431192660545,0.005733944954128489,-0.012655211819195954,0.010332950631458115,0.7774445110977805,1.0,False
